id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,in_reply_to_screen_name,in_reply_to_status_id,user_mention,hashtags,query,url,media,lat,lng
448494902926901248,https://twitter.com/APARSENproject/status/448494902926901248,2014-03-25 16:21:32+00:00,RT @Eudat_eu: @APARSENproject – @Eudat_eu – @SCIDIPES Data preservation and reuse workshop today! http://t.co/vJUr1zX3Av Co-located with th…,en,1,APARSENproject,,Eudat_eu,RDAPlenary,#rdaplenary,http://bit.ly/NMSt5f,,,,
448494949739532288,https://twitter.com/stevehit/status/448494949739532288,2014-03-25 16:21:43+00:00,RT @gmcmahon: Application of metadata standards for research data (2011) #RDAPlenary *Gulp* http://t.co/njGkSN3Bqz,en,2,stevehit,https://pbs.twimg.com/media/BjleW93IUAAW_s7.png,gmcmahon,RDAPlenary,#rdaplenary,,,,,
448495001665028096,https://twitter.com/kevingashley/status/448495001665028096,2014-03-25 16:21:55+00:00,". @laurencedata If all goes well, the interesting outputs won't be tweets but updates to WG/IG pages on http://t.co/cBSTw5Cx1j #Rdaplenary",en,0,kevingashley,,laurencedata,Rdaplenary,#rdaplenary,http://rd-alliance.org,laurencedata,4.48476E+17,,
448495311229833216,https://twitter.com/amir_at_ands/status/448495311229833216,2014-03-25 16:23:09+00:00,I think Interoperability will be a common topic in many #RDAPlenary sessions in the next few days.,en,1,amir_at_ands,,,RDAPlenary,#rdaplenary,,,,,
448496298044710912,https://twitter.com/myrmoteras/status/448496298044710912,2014-03-25 16:27:04+00:00,#RDAPlenary rda is about open accsess: why smt pub asso BUT not OASPA (open acces publisers) as organizational members??,en,0,myrmoteras,,,RDAPlenary,#rdaplenary,,,,,
448497096283652096,https://twitter.com/pampel/status/448497096283652096,2014-03-25 16:30:15+00:00,"DataCite (@datacite), http://t.co/EeUFhVz0Hm (@re3data), and Databib (@Databib) announce Collaboration: http://t.co/gxWqC0iJsB #RDAplenary",en,34,pampel,,datacite,RDAplenary,#rdaplenary,http://re3data.org,,,,
448497343433019393,https://twitter.com/LIBREAS/status/448497343433019393,2014-03-25 16:31:14+00:00,"RT @pampel: DataCite (@datacite), http://t.co/EeUFhVz0Hm (@re3data), and Databib (@Databib) announce Collaboration: http://t.co/gxWqC0iJsB …",en,34,LIBREAS,,pampel,RDAplenary,#rdaplenary,http://re3data.org,,,,
448497856807444482,https://twitter.com/brigittejoerg/status/448497856807444482,2014-03-25 16:33:16+00:00,RT @amir_at_ands: I think Interoperability will be a common topic in many #RDAPlenary sessions in the next few days.,en,1,brigittejoerg,,amir_at_ands,RDAPlenary,#rdaplenary,,,,,
448498585437732864,https://twitter.com/brigittejoerg/status/448498585437732864,2014-03-25 16:36:10+00:00,"RT @pampel: DataCite (@datacite), http://t.co/EeUFhVz0Hm (@re3data), and Databib (@Databib) announce Collaboration: http://t.co/gxWqC0iJsB …",en,34,brigittejoerg,,pampel,RDAplenary,#rdaplenary,http://re3data.org,,,,
448498735698702336,https://twitter.com/thedataorg/status/448498735698702336,2014-03-25 16:36:45+00:00,5 excellent reasons to attend #RDAPlenary incl. panel on Data Policy Challenges w/ @mercecrosas @simonhodson99 and + https://t.co/C7JxASyYYk,en,3,thedataorg,,mercecrosas,RDAPlenary,#rdaplenary,https://rd-alliance.org/5-excellent-reasons-attend-rda-third-plenary-meeting-dublin-%E2%80%A6.html,,,,
448499096022970369,https://twitter.com/CODATANews/status/448499096022970369,2014-03-25 16:38:11+00:00,RT @thedataorg: 5 excellent reasons to attend #RDAPlenary incl. panel on Data Policy Challenges w/ @mercecrosas @simonhodson99 and + https:…,en,3,CODATANews,,thedataorg,RDAPlenary,#rdaplenary,https://rd-alliance.org/5-excellent-reasons-attend-rda-third-plenary-meeting-dublin-%E2%80%A6.html,,,,
448499119817232384,https://twitter.com/rnl_s/status/448499119817232384,2014-03-25 16:38:17+00:00,Good news ahead of #RDAPlenary. @Databib &amp; @re3data to merge data repository registries under @datacite: http://t.co/Iadm3jFvhp,en,1,rnl_s,,Databib,RDAPlenary,#rdaplenary,http://www.re3data.org/2014/03/datacite-re3data-org-databib-collaboration/,,,,
448499231566102528,https://twitter.com/rwwh/status/448499231566102528,2014-03-25 16:38:44+00:00,"Jamie Shiers: ""Some sites are 10000 times better at losing your data than others"" #dphep at #rdaplenary side meeting.",en,0,rwwh,,,dphep,#rdaplenary,,,,,
448499515876974593,https://twitter.com/UKDataArchive/status/448499515876974593,2014-03-25 16:39:51+00:00,"RT @pampel: DataCite (@datacite), http://t.co/EeUFhVz0Hm (@re3data), and Databib (@Databib) announce Collaboration: http://t.co/gxWqC0iJsB …",en,34,UKDataArchive,,pampel,RDAplenary,#rdaplenary,http://re3data.org,,,,
448501385529917441,https://twitter.com/F1000Research/status/448501385529917441,2014-03-25 16:47:17+00:00,RT @rnl_s: Good news ahead of #RDAPlenary. @Databib &amp; @re3data to merge data repository registries under @datacite: http://t.co/Iadm3jFvhp,en,1,F1000Research,,rnl_s,RDAPlenary,#rdaplenary,http://www.re3data.org/2014/03/datacite-re3data-org-databib-collaboration/,,,,
